,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1587143877201,10,True,3143,3742,3025,3111,3068,3001,3340,19,6,12,5,2,6,601,1,0,0,0,0,203806,136232,63649,3924,0,43358,31322,11680,356,9964,1,110966,10628,3305,41,47,39383,12956,21053,5372,21649,18200,1,0,231,8,0,0,1200,18,0,0,16,7,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8229,2007,0,0,8226,250,1171,0,8210,0,0,0,8237,714,0,0,8345,3,0,0,8352,170,1000,521,8200,8300,5008,5008,5002,54,440,3.0,1,1587143877201
1586977789876,5,True,3026,3153,2055,3111,3078,3053,3340,4,6,6,3,1,1,737,0,0,0,0,0,213964,34739,169341,9883,0,19443,3953,15055,434,4787,1,31292,5509,4443,36,23,31793,9145,19654,2994,15814,14633,3,0,231,37,0,29,319,18,4,0,15,7,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8010,679,0,0,9111,657,200,0,9105,17,30,0,8299,624,0,0,8304,10,3,0,8352,155,812,487,8000,8300,5008,5008,5002,24,440,3.0,1,1586977789876
1586974385991,5,False,1054,1056,2055,3194,3047,3068,3340,2,7,3,0,1,0,419,0,0,0,0,0,106256,90340,15606,310,0,13715,11595,1809,310,5757,1,26040,1772,1129,24,58,26854,6336,20024,493,9025,7900,1,0,162,4,4,0,453,14,4,0,13,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,466,0,0,8446,720,0,0,8429,61,17,15,8451,194,0,0,8226,250,632,0,8210,0,0,0,8400,8200,5005,5008,5002,57,440,3.0,1,1586974385991
1586971499005,5,True,3041,1011,3001,3111,3075,3068,3340,7,5,23,2,1,2,566,0,0,0,0,0,156592,109980,40305,6306,0,28412,20965,7400,46,4020,1,55339,6865,6025,36,35,24991,11043,11271,2675,14923,13525,4,1,206,0,0,0,692,18,5,0,18,5,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1515,1107,0,8446,3235,0,0,8429,67,35,16,8451,268,0,0,8345,3,0,0,8352,295,1888,993,8400,8300,5008,5008,5003,54,440,3.0,1,1586971499005
1586373361205,10,False,3157,3152,3907,1052,3020,3165,3340,8,7,6,4,2,2,631,2,0,0,0,0,155473,137184,10749,7540,0,24512,23461,1050,0,21237,1,22209,5874,516,40,4,30366,3856,23148,3361,13657,13760,0,0,187,14,4,0,91,17,9,0,18,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,17,0,0,8275,8,0,0,8210,0,0,0,8236,48,0,0,8304,11,1,5,8347,0,0,0,8200,8300,5007,5008,5002,8,440,2.0,1,1586373361205
1586370832163,5,True,1054,3152,0,3020,1058,0,3340,0,2,1,0,0,0,581,0,0,0,0,0,61487,52794,8643,50,0,5094,4249,794,50,6158,1,3231,3610,2996,16,1,8250,683,6732,833,5913,5750,2,0,113,2,0,1,56,12,2,0,6,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,9,0,0,8275,4,0,0,8210,0,0,0,8236,8,0,0,8304,11,1,5,8347,0,0,0,8200,8300,5007,5008,5002,8,440,2.0,1,1586370832163
1586203784321,10,False,3157,3152,3916,1026,1056,3020,3340,3,5,4,0,1,0,392,0,0,0,0,0,142089,126015,11561,4513,0,16243,15241,1002,0,16104,1,15362,7196,3172,21,6,20783,3486,16410,886,10260,9500,1,0,187,6,3,0,131,15,4,0,13,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,17,0,0,8275,7,0,0,8210,0,0,0,8236,24,0,0,8304,11,1,5,8347,0,0,0,8200,8300,5007,5008,5002,8,440,2.0,1,1586203784321
1586199549069,10,False,3812,3153,3082,3076,3111,3071,3340,4,5,8,2,1,1,1265,0,0,0,0,0,221885,1948,186789,33147,0,26393,558,21531,4303,8310,1,46855,13484,5625,44,34,36102,15854,16671,3576,14385,14300,2,0,235,18,12,1,365,18,4,0,16,6,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1692,0,0,9111,1038,240,0,9104,17,20,0,8299,1071,0,0,8444,1022,0,0,8453,1762,1011,0,8000,8400,5005,5008,5003,875,440,2.0,1,1586199549069
1586196841996,10,True,3157,3152,1058,3089,3020,1052,3340,6,3,9,4,1,1,951,0,0,0,0,0,153298,141474,10753,1070,0,28534,26516,946,1070,27429,1,19388,5157,5157,34,6,27257,3946,22209,1101,13901,12785,1,1,201,12,4,8,104,17,4,0,14,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,17,0,0,8275,9,0,0,8210,18,0,0,8236,48,0,0,8304,9,4,5,8347,0,0,0,8200,8300,5007,5008,5002,8,440,2.0,1,1586196841996
1585771594947,5,True,3068,3748,0,1006,3211,3111,3340,3,3,15,2,1,1,1213,0,0,0,0,0,129034,53838,61338,13857,0,16237,7536,7853,847,577,2,30433,4168,1076,29,28,20542,7025,12044,1472,11442,9175,0,0,179,24,8,8,233,16,3,0,12,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360,14,0,0,8304,10,3,0,8316,2567,0,0,8347,0,0,0,8126,746,0,0,8106,5,0,0,8300,8100,5005,5002,5002,98,440,1.0,1,1585771594947
