,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1587155795828,Blue,0,1,1,1,1,1,0,7,1,1,1,0,0,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 90, 'pickTurn': 2}, {'championId': 9, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 8, 'pickTurn': 5}]",Flex,1,1587155795828,3.0
1587148864781,Red,1,0,0,0,1,0,0,7,1,2,2,0,0,0,"[{'championId': 412, 'pickTurn': 6}, {'championId': 91, 'pickTurn': 7}, {'championId': 117, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 8, 'pickTurn': 10}]",Flex,1,1587148864781,3.0
1587143877201,Red,1,1,1,0,0,1,1,8,2,2,4,0,2,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 8, 'pickTurn': 10}]",Flex,1,1587143877201,3.0
1586977789876,Blue,1,0,1,1,1,0,1,11,3,2,5,0,2,0,"[{'championId': 103, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1586977789876,3.0
1586974385991,Blue,0,1,0,0,0,1,1,2,0,0,2,0,1,0,"[{'championId': 56, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 517, 'pickTurn': 5}]",Flex,1,1586974385991,3.0
1586971499005,Blue,1,0,0,1,1,0,0,7,1,1,2,0,0,0,"[{'championId': 103, 'pickTurn': 1}, {'championId': 8, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 516, 'pickTurn': 5}]",Flex,1,1586971499005,3.0
1586373361205,Red,0,0,1,1,1,1,1,7,1,1,2,0,2,0,"[{'championId': 11, 'pickTurn': 6}, {'championId': 516, 'pickTurn': 7}, {'championId': 51, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 86, 'pickTurn': 10}]",Flex,1,1586373361205,2.0
1586370832163,Blue,1,1,1,1,0,1,1,5,1,0,2,0,2,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 516, 'pickTurn': 2}, {'championId': 55, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1586370832163,2.0
1586203784321,Red,0,0,0,0,0,1,0,1,0,0,1,0,0,0,"[{'championId': 45, 'pickTurn': 6}, {'championId': 516, 'pickTurn': 7}, {'championId': 55, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 86, 'pickTurn': 10}]",Flex,1,1586203784321,2.0
1586199549069,Red,0,1,1,0,0,1,1,5,0,0,3,0,2,0,"[{'championId': 154, 'pickTurn': 6}, {'championId': 516, 'pickTurn': 7}, {'championId': 9, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 9}, {'championId': 86, 'pickTurn': 10}]",Flex,1,1586199549069,2.0
